,COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,PRSNTOTAL,PRSNRATE,MURDER,MANSLAUGHTER,FORCIBLE_SEX,ASSAULT,NON_FORCIBLE_SEX,KIDNAPPING_ABDUCTION,HUMAN_TRAFFICKING,VIOL_OF_NO_CONTACT,PRPRTYTOTAL,PRPRTYRATE,ARSON,BRIBERY,BURGLARY,COUNTERFEITING_FORGERY,DESTRUCTION_OF_PROPERTY,EXTORTION_BLACKMAIL,ROBBERY,THEFT,SCTYTOTAL,SCTYRATE,DRUG_VIOLATIONS,GAMBLING_VIOLATIONS,PORNOGRAPHY,PROSTITUTION,WEAPON_LAW_VIOLATION,ANIMAL_CRUELTY
59,ASOTIN,2017,COUNTY TOTAL,22290.0,1021,45.8,221,9.9,0.0,0,12,205,2,2,0,0,683,30.6,0,0,86,1,161,0,7,428,117,5.2,87,0,3,0,27,0
60,ASOTIN,2018,COUNTY TOTAL,22420.0,1134,50.6,284,12.7,0.0,1,12,230,1,2,0,38,722,32.2,2,0,100,4,184,0,6,426,128,5.7,101,0,6,0,21,0
61,ASOTIN,2019,COUNTY TOTAL,22520.0,1324,58.8,367,16.3,1.0,0,16,282,3,1,0,64,854,37.9,0,0,101,8,212,0,4,529,103,4.6,76,0,2,0,24,1
62,ASOTIN,2020,COUNTY TOTAL,22640.0,884,39.0,256,11.3,0.0,0,13,183,0,0,0,60,557,24.6,0,0,92,3,150,1,2,309,71,3.1,50,0,2,0,19,0
81,BENTON,2012,COUNTY TOTAL,174226.0,11993,68.8,2742,15.7,1.0,3,207,2006,10,33,0,482,7507,43.1,34,0,851,112,2055,2,56,4397,1744,10.0,1529,0,18,3,194,0
82,BENTON,2013,COUNTY TOTAL,183400.0,11160,60.9,2765,15.1,7.0,2,179,2108,11,26,0,432,7320,39.9,27,2,839,127,1870,4,60,4391,1075,5.9,871,0,16,6,182,0
83,BENTON,2014,COUNTY TOTAL,186500.0,10964,58.8,2760,14.8,8.0,0,192,1970,7,31,0,552,7125,38.2,27,0,906,100,1585,2,59,4446,1079,5.8,844,0,23,11,201,0
84,BENTON,2015,COUNTY TOTAL,188683.0,10738,56.9,2815,14.9,3.0,0,201,1995,6,49,2,559,6872,36.4,38,0,750,111,1621,9,37,4306,1051,5.6,855,0,26,13,157,0
85,BENTON,2016,COUNTY TOTAL,190500.0,10870,57.1,2623,13.8,3.0,1,187,1850,15,34,2,531,7162,37.6,45,0,702,129,1687,6,54,4539,1085,5.7,877,1,26,13,168,0
86,BENTON,2017,COUNTY TOTAL,193509.0,11443,59.1,2919,15.1,1.0,0,240,2022,9,53,2,592,7260,37.5,33,0,733,103,1766,12,79,4534,1264,6.5,957,0,39,20,233,15
87,BENTON,2018,COUNTY TOTAL,197420.0,11864,60.1,3042,15.4,6.0,0,254,2141,6,35,7,593,7371,37.3,34,1,662,135,1735,15,61,4728,1451,7.3,1155,0,47,8,219,22
88,BENTON,2019,COUNTY TOTAL,201807.0,12428,61.6,3215,15.9,6.0,0,250,2344,9,39,2,565,7699,38.2,31,1,742,148,1771,13,67,4926,1514,7.5,1215,0,39,12,221,27
89,BENTON,2020,COUNTY TOTAL,205700.0,14456,70.3,3222,15.7,5.0,4,254,2224,5,52,0,678,10045,48.8,31,1,1097,124,2053,24,75,6640,1189,5.8,873,0,58,9,219,30
125,CHELAN,2012,COUNTY TOTAL,40800.0,1349,33.1,355,8.7,1.0,0,10,269,1,3,0,71,872,21.4,0,0,179,10,201,0,6,476,122,3.0,104,0,0,0,18,0
126,CHELAN,2013,COUNTY TOTAL,73600.0,3638,49.4,894,12.1,1.0,0,46,625,4,1,0,217,2408,32.7,9,0,297,75,415,1,14,1597,336,4.6,276,0,2,1,57,0
127,CHELAN,2014,COUNTY TOTAL,74308.0,3233,43.5,800,10.8,0.0,0,46,557,4,5,0,188,2014,27.1,5,1,350,43,244,2,16,1353,419,5.6,368,0,2,1,48,0
128,CHELAN,2015,COUNTY TOTAL,75030.0,3616,48.2,889,11.8,0.0,0,42,638,3,1,0,205,2289,30.5,6,1,372,60,291,1,8,1550,438,5.8,389,0,1,0,48,0
129,CHELAN,2016,COUNTY TOTAL,75986.0,3756,49.4,913,12.0,0.0,1,39,645,8,19,1,200,2338,30.8,7,0,364,39,267,1,15,1645,505,6.6,426,0,4,9,66,0
130,CHELAN,2017,COUNTY TOTAL,76837.0,3221,41.9,819,10.7,2.0,0,42,592,11,20,1,151,1922,25.0,8,0,298,75,250,2,20,1269,480,6.2,407,0,0,15,54,4
131,CHELAN,2018,COUNTY TOTAL,77800.0,3373,43.4,942,12.1,0.0,0,51,686,6,29,0,170,1931,24.8,6,0,240,70,254,3,18,1340,500,6.4,431,0,5,0,63,1
132,CHELAN,2019,COUNTY TOTAL,78463.0,3051,38.9,857,10.9,1.0,0,38,600,4,11,0,203,1605,20.5,1,0,175,45,268,2,11,1103,589,7.5,537,0,2,1,47,2
133,CHELAN,2020,COUNTY TOTAL,79665.0,3021,37.9,792,9.9,2.0,0,34,538,7,18,0,193,1823,22.9,4,0,170,40,320,0,9,1280,406,5.1,345,0,2,1,57,1
151,CLALLAM,2012,COUNTY TOTAL,72000.0,5237,72.7,1241,17.2,5.0,1,80,915,13,23,0,204,3552,49.3,7,1,642,126,788,3,25,1960,444,6.2,373,0,4,2,65,0
152,CLALLAM,2013,COUNTY TOTAL,72350.0,5081,70.2,1245,17.2,1.0,0,66,870,8,22,0,278,3431,47.4,6,0,575,87,721,2,24,2016,405,5.6,319,0,8,1,77,0
