County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate
"Craighead County, AR",2016,"52,315     ","50,613     ","1,702     ",3.3     
"Crawford County, AR",2016,"26,995     ","25,941     ","1,054     ",3.9     
"Crittenden County, AR",2016,"21,642     ","20,664     ",978     ,4.5     
"Cross County, AR",2016,"7,897     ","7,547     ",350     ,4.4     
"Dallas County, AR",2016,"2,987     ","2,842     ",145     ,4.9     
"Desha County, AR",2016,"5,455     ","5,157     ",298     ,5.5     
"Drew County, AR",2016,"8,002     ","7,549     ",453     ,5.7     
"Faulkner County, AR",2016,"60,654     ","58,345     ","2,309     ",3.8     
"Franklin County, AR",2016,"7,378     ","7,079     ",299     ,4.1     
"Fulton County, AR",2016,"4,675     ","4,472     ",203     ,4.3     
"Garland County, AR",2016,"40,152     ","38,421     ","1,731     ",4.3     
"Grant County, AR",2016,"8,288     ","7,989     ",299     ,3.6     
"Greene County, AR",2016,"19,839     ","18,987     ",852     ,4.3     
"Hempstead County, AR",2016,"10,019     ","9,643     ",376     ,3.8     
"Hot Spring County, AR",2016,"14,139     ","13,582     ",557     ,3.9     
"Howard County, AR",2016,"5,989     ","5,793     ",196     ,3.3     
"Independence County, AR",2016,"16,039     ","15,243     ",796     ,5.0     
"Izard County, AR",2016,"4,976     ","4,696     ",280     ,5.6     
"Jackson County, AR",2016,"6,068     ","5,689     ",379     ,6.2     
"Jefferson County, AR",2016,"28,373     ","26,779     ","1,594     ",5.6     
"Johnson County, AR",2016,"10,551     ","10,049     ",502     ,4.8     
"Lafayette County, AR",2016,"2,586     ","2,435     ",151     ,5.8     
"Lawrence County, AR",2016,"6,929     ","6,628     ",301     ,4.3     
"Lee County, AR",2016,"3,098     ","2,951     ",147     ,4.7     
"Lincoln County, AR",2016,"4,102     ","3,904     ",198     ,4.8     
"Little River County, AR",2016,"5,602     ","5,339     ",263     ,4.7     
"Logan County, AR",2016,"9,145     ","8,724     ",421     ,4.6     
"Lonoke County, AR",2016,"33,442     ","32,327     ","1,115     ",3.3     
"Madison County, AR",2016,"7,297     ","7,063     ",234     ,3.2     
"Marion County, AR",2016,"6,532     ","6,271     ",261     ,4.0     
"Miller County, AR",2016,"19,904     ","19,067     ",837     ,4.2     
"Mississippi County, AR",2016,"18,099     ","16,869     ","1,230     ",6.8     
"Monroe County, AR",2016,"2,886     ","2,747     ",139     ,4.8     
"Montgomery County, AR",2016,"3,133     ","2,972     ",161     ,5.1     
"Nevada County, AR",2016,"3,650     ","3,515     ",135     ,3.7     
"Newton County, AR",2016,"3,417     ","3,284     ",133     ,3.9     
"Ouachita County, AR",2016,"9,897     ","9,399     ",498     ,5.0     
"Perry County, AR",2016,"4,174     ","3,974     ",200     ,4.8     
"Phillips County, AR",2016,"6,668     ","6,274     ",394     ,5.9     
"Pike County, AR",2016,"4,228     ","4,048     ",180     ,4.3     
"Poinsett County, AR",2016,"10,108     ","9,675     ",433     ,4.3     
"Polk County, AR",2016,"8,194     ","7,794     ",400     ,4.9     
"Pope County, AR",2016,"29,332     ","27,981     ","1,351     ",4.6     
"Prairie County, AR",2016,"3,656     ","3,516     ",140     ,3.8     
"Pulaski County, AR",2016,"187,419     ","180,752     ","6,667     ",3.6     
"Randolph County, AR",2016,"6,534     ","6,232     ",302     ,4.6     
"St. Francis County, AR",2016,"8,855     ","8,394     ",461     ,5.2     
"Saline County, AR",2016,"56,952     ","55,170     ","1,782     ",3.1     
"Scott County, AR",2016,"4,469     ","4,305     ",164     ,3.7     
"Searcy County, AR",2016,"2,994     ","2,857     ",137     ,4.6     
"Sebastian County, AR",2016,"57,697     ","55,543     ","2,154     ",3.7     
"Sevier County, AR",2016,"5,704     ","5,427     ",277     ,4.9     
"Sharp County, AR",2016,"6,062     ","5,731     ",331     ,5.5     
"Stone County, AR",2016,"4,748     ","4,504     ",244     ,5.1     
"Union County, AR",2016,"16,401     ","15,504     ",897     ,5.5     
"Van Buren County, AR",2016,"6,113     ","5,692     ",421     ,6.9     
"Washington County, AR",2016,"118,574     ","115,300     ","3,274     ",2.8     
"White County, AR",2016,"34,092     ","32,318     ","1,774     ",5.2     
"Woodruff County, AR",2016,"2,974     ","2,811     ",163     ,5.5     
"Yell County, AR",2016,"8,700     ","8,311     ",389     ,4.5     
"Alameda County, CA",2016,"831,827     ","796,037     ","35,790     ",4.3     
"Alpine County, CA",2016,554     ,518     ,36     ,6.5     
"Amador County, CA",2016,"14,525     ","13,658     ",867     ,6.0     
"Butte County, CA",2016,"101,648     ","94,909     ","6,739     ",6.6     
"Calaveras County, CA",2016,"20,798     ","19,615     ","1,183     ",5.7     
"Colusa County, CA",2016,"10,908     ","9,205     ","1,703     ",15.6     
"Contra Costa County, CA",2016,"553,221     ","528,401     ","24,820     ",4.5     
"Del Norte County, CA",2016,"9,755     ","9,019     ",736     ,7.5     
"El Dorado County, CA",2016,"88,824     ","84,248     ","4,576     ",5.2     
"Fresno County, CA",2016,"444,737     ","402,364     ","42,373     ",9.5     
"Glenn County, CA",2016,"12,949     ","11,867     ","1,082     ",8.4     
"Humboldt County, CA",2016,"62,424     ","59,338     ","3,086     ",4.9     
"Imperial County, CA",2016,"75,186     ","56,998     ","18,188     ",24.2     
"Inyo County, CA",2016,"8,860     ","8,390     ",470     ,5.3     
"Kern County, CA",2016,"388,109     ","347,692     ","40,417     ",10.4     
"Kings County, CA",2016,"57,161     ","51,446     ","5,715     ",10.0     
"Lake County, CA",2016,"29,067     ","27,108     ","1,959     ",6.7     
"Lassen County, CA",2016,"10,363     ","9,642     ",721     ,7.0     
"Los Angeles County, CA",2016,"5,018,920     ","4,751,209     ","267,711     ",5.3     
"Madera County, CA",2016,"61,051     ","55,393     ","5,658     ",9.3     
"Marin County, CA",2016,"139,632     ","135,040     ","4,592     ",3.3     
"Mariposa County, CA",2016,"7,568     ","7,048     ",520     ,6.9     
"Mendocino County, CA",2016,"39,617     ","37,521     ","2,096     ",5.3     
"Merced County, CA",2016,"114,339     ","102,211     ","12,128     ",10.6     
"Modoc County, CA",2016,"3,292     ","3,034     ",258     ,7.8     
"Mono County, CA",2016,"8,365     ","7,915     ",450     ,5.4     
"Monterey County, CA",2016,"218,802     ","201,971     ","16,831     ",7.7     
"Napa County, CA",2016,"72,941     ","69,799     ","3,142     ",4.3     
"Nevada County, CA",2016,"48,147     ","45,838     ","2,309     ",4.8     
"Orange County, CA",2016,"1,597,447     ","1,532,725     ","64,722     ",4.1     
"Placer County, CA",2016,"179,634     ","171,550     ","8,084     ",4.5     
"Plumas County, CA",2016,"7,851     ","7,085     ",766     ,9.8     
"Riverside County, CA",2016,"1,051,610     ","987,187     ","64,423     ",6.1     
"Sacramento County, CA",2016,"693,979     ","656,360     ","37,619     ",5.4     
"San Benito County, CA",2016,"30,434     ","28,398     ","2,036     ",6.7     
"San Bernardino County, CA",2016,"930,242     ","876,387     ","53,855     ",5.8     
"San Diego County, CA",2016,"1,563,246     ","1,489,143     ","74,103     ",4.7     
"San Francisco County/city, CA",2016,"555,316     ","536,972     ","18,344     ",3.3     
"San Joaquin County, CA",2016,"318,316     ","292,367     ","25,949     ",8.2     
"San Luis Obispo County, CA",2016,"139,484     ","133,438     ","6,046     ",4.3     
"San Mateo County, CA",2016,"441,792     ","428,282     ","13,510     ",3.1     
"Santa Barbara County, CA",2016,"215,256     ","204,329     ","10,927     ",5.1     
"Santa Clara County, CA",2016,"1,027,918     ","989,048     ","38,870     ",3.8     
"Santa Cruz County, CA",2016,"143,764     ","133,730     ","10,034     ",7.0     
"Shasta County, CA",2016,"74,207     ","69,019     ","5,188     ",7.0     
"Sierra County, CA",2016,"1,334     ","1,232     ",102     ,7.6     
"Siskiyou County, CA",2016,"17,896     ","16,370     ","1,526     ",8.5     
"Solano County, CA",2016,"207,273     ","195,835     ","11,438     ",5.5     
"Sonoma County, CA",2016,"259,214     ","248,876     ","10,338     ",4.0     
"Stanislaus County, CA",2016,"242,737     ","221,769     ","20,968     ",8.6     
"Sutter County, CA",2016,"44,983     ","40,612     ","4,371     ",9.7     
"Tehama County, CA",2016,"25,071     ","23,280     ","1,791     ",7.1     
"Trinity County, CA",2016,"4,993     ","4,638     ",355     ,7.1     
"Tulare County, CA",2016,"203,292     ","180,503     ","22,789     ",11.2     
"Tuolumne County, CA",2016,"21,567     ","20,221     ","1,346     ",6.2     
"Ventura County, CA",2016,"425,346     ","403,087     ","22,259     ",5.2     
"Yolo County, CA",2016,"106,078     ","99,812     ","6,266     ",5.9     
"Yuba County, CA",2016,"28,153     ","25,722     ","2,431     ",8.6     
"Adams County, CO",2016,"253,599     ","244,903     ","8,696     ",3.4     
"Alamosa County, CO",2016,"7,964     ","7,657     ",307     ,3.9     
"Arapahoe County, CO",2016,"340,623     ","330,532     ","10,091     ",3.0     
"Archuleta County, CO",2016,"6,365     ","6,165     ",200     ,3.1     
"Baca County, CO",2016,"2,093     ","2,059     ",34     ,1.6     
"Bent County, CO",2016,"1,851     ","1,797     ",54     ,2.9     
"Boulder County, CO",2016,"180,901     ","176,286     ","4,615     ",2.6     
"Broomfield County/city, CO",2016,"36,784     ","35,767     ","1,017     ",2.8     
"Chaffee County, CO",2016,"8,843     ","8,619     ",224     ,2.5     
"Cheyenne County, CO",2016,"1,081     ","1,058     ",23     ,2.1     
"Clear Creek County, CO",2016,"5,686     ","5,513     ",173     ,3.0     
"Conejos County, CO",2016,"3,769     ","3,594     ",175     ,4.6     
"Costilla County, CO",2016,"1,728     ","1,648     ",80     ,4.6     
"Crowley County, CO",2016,"1,422     ","1,374     ",48     ,3.4     
"Custer County, CO",2016,"2,019     ","1,958     ",61     ,3.0     
"Delta County, CO",2016,"13,948     ","13,293     ",655     ,4.7     
"Denver County/city, CO",2016,"385,108     ","373,645     ","11,463     ",3.0     
"Dolores County, CO",2016,"1,071     ","1,031     ",40     ,3.7     
"Douglas County, CO",2016,"177,570     ","173,042     ","4,528     ",2.5     
"Eagle County, CO",2016,"33,733     ","32,848     ",885     ,2.6     
"Elbert County, CO",2016,"13,802     ","13,460     ",342     ,2.5     
"El Paso County, CO",2016,"314,650     ","303,352     ","11,298     ",3.6     
"Fremont County, CO",2016,"14,695     ","13,968     ",727     ,4.9     
"Garfield County, CO",2016,"30,994     ","29,959     ","1,035     ",3.3     
"Gilpin County, CO",2016,"3,485     ","3,406     ",79     ,2.3     
"Grand County, CO",2016,"9,191     ","8,955     ",236     ,2.6     
"Gunnison County, CO",2016,"10,140     ","9,918     ",222     ,2.2     
"Hinsdale County, CO",2016,447     ,437     ,10     ,2.2     
"Huerfano County, CO",2016,"2,497     ","2,346     ",151     ,6.0     
"Jackson County, CO",2016,892     ,869     ,23     ,2.6     
"Jefferson County, CO",2016,"315,406     ","306,493     ","8,913     ",2.8     
"Kiowa County, CO",2016,846     ,830     ,16     ,1.9     
"Kit Carson County, CO",2016,"4,540     ","4,448     ",92     ,2.0     
"Lake County, CO",2016,"4,618     ","4,492     ",126     ,2.7     
"La Plata County, CO",2016,"30,992     ","30,141     ",851     ,2.7     
"Larimer County, CO",2016,"187,400     ","182,374     ","5,026     ",2.7     
"Las Animas County, CO",2016,"6,183     ","5,884     ",299     ,4.8     
"Lincoln County, CO",2016,"2,280     ","2,224     ",56     ,2.5     
"Logan County, CO",2016,"11,017     ","10,707     ",310     ,2.8     
"Mesa County, CO",2016,"72,044     ","68,374     ","3,670     ",5.1     
"Mineral County, CO",2016,464     ,454     ,10     ,2.2     
"Moffat County, CO",2016,"7,180     ","6,908     ",272     ,3.8     
"Montezuma County, CO",2016,"12,715     ","12,112     ",603     ,4.7     
"Montrose County, CO",2016,"20,062     ","19,268     ",794     ,4.0     
"Morgan County, CO",2016,"15,039     ","14,542     ",497     ,3.3     
"Otero County, CO",2016,"8,110     ","7,745     ",365     ,4.5     
"Ouray County, CO",2016,"2,166     ","2,088     ",78     ,3.6     
"Park County, CO",2016,"9,836     ","9,574     ",262     ,2.7     
"Phillips County, CO",2016,"2,472     ","2,426     ",46     ,1.9     
"Pitkin County, CO",2016,"10,736     ","10,390     ",346     ,3.2     
"Prowers County, CO",2016,"6,006     ","5,820     ",186     ,3.1     
"Pueblo County, CO",2016,"73,058     ","69,714     ","3,344     ",4.6     
"Rio Blanco County, CO",2016,"2,735     ","2,603     ",132     ,4.8     
"Rio Grande County, CO",2016,"5,153     ","4,909     ",244     ,4.7     
"Routt County, CO",2016,"14,912     ","14,539     ",373     ,2.5     
"Saguache County, CO",2016,"3,226     ","3,075     ",151     ,4.7     
"San Juan County, CO",2016,479     ,462     ,17     ,3.5     
"San Miguel County, CO",2016,"5,185     ","5,024     ",161     ,3.1     
"Sedgwick County, CO",2016,"1,178     ","1,152     ",26     ,2.2     
"Summit County, CO",2016,"21,140     ","20,722     ",418     ,2.0     
"Teller County, CO",2016,"11,731     ","11,315     ",416     ,3.5     
"Washington County, CO",2016,"2,921     ","2,861     ",60     ,2.1     
"Weld County, CO",2016,"149,941     ","145,047     ","4,894     ",3.3     
"Yuma County, CO",2016,"5,441     ","5,330     ",111     ,2.0     
"Fairfield County, CT",2016,"480,229     ","458,116     ","22,113     ",4.6     
"Hartford County, CT",2016,"474,494     ","450,542     ","23,952     ",5.0     
"Litchfield County, CT",2016,"104,750     ","100,083     ","4,667     ",4.5     
"Middlesex County, CT",2016,"92,489     ","88,623     ","3,866     ",4.2     
"New Haven County, CT",2016,"457,003     ","433,288     ","23,715     ",5.2     
"New London County, CT",2016,"136,181     ","129,595     ","6,586     ",4.8     
"Tolland County, CT",2016,"85,416     ","81,803     ","3,613     ",4.2     
"Windham County, CT",2016,"62,639     ","59,342     ","3,297     ",5.3     
"Kent County, DE",2016,"76,699     ","72,935     ","3,764     ",4.9     
"New Castle County, DE",2016,"291,757     ","278,853     ","12,904     ",4.4     
"Sussex County, DE",2016,"100,352     ","95,852     ","4,500     ",4.5     
District of Columbia,2016,"395,124     ","370,553     ","24,571     ",6.2     
"Alachua County, FL",2016,"133,055     ","127,302     ","5,753     ",4.3     
"Baker County, FL",2016,"11,456     ","10,892     ",564     ,4.9     
"Bay County, FL",2016,"88,209     ","83,963     ","4,246     ",4.8     
"Bradford County, FL",2016,"10,896     ","10,427     ",469     ,4.3     
"Brevard County, FL",2016,"263,418     ","249,817     ","13,601     ",5.2     
"Broward County, FL",2016,"1,007,259     ","961,500     ","45,759     ",4.5     
"Calhoun County, FL",2016,"5,003     ","4,713     ",290     ,5.8     
"Charlotte County, FL",2016,"69,519     ","65,781     ","3,738     ",5.4     
"Citrus County, FL",2016,"48,006     ","44,748     ","3,258     ",6.8     
"Clay County, FL",2016,"101,345     ","96,747     ","4,598     ",4.5     
"Collier County, FL",2016,"169,758     ","161,752     ","8,006     ",4.7     
"Columbia County, FL",2016,"29,856     ","28,387     ","1,469     ",4.9     
"DeSoto County, FL",2016,"13,516     ","12,797     ",719     ,5.3     
"Dixie County, FL",2016,"5,669     ","5,358     ",311     ,5.5     
"Duval County, FL",2016,"469,165     ","445,908     ","23,257     ",5.0     
"Escambia County, FL",2016,"141,419     ","134,347     ","7,072     ",5.0     
"Flagler County, FL",2016,"45,492     ","42,967     ","2,525     ",5.6     
"Franklin County, FL",2016,"4,752     ","4,544     ",208     ,4.4     
"Gadsden County, FL",2016,"18,269     ","17,114     ","1,155     ",6.3     
"Gilchrist County, FL",2016,"6,698     ","6,360     ",338     ,5.0     
"Glades County, FL",2016,"4,734     ","4,436     ",298     ,6.3     
"Gulf County, FL",2016,"5,985     ","5,704     ",281     ,4.7     
"Hamilton County, FL",2016,"4,673     ","4,406     ",267     ,5.7     
"Hardee County, FL",2016,"9,287     ","8,664     ",623     ,6.7     
"Hendry County, FL",2016,"15,462     ","14,133     ","1,329     ",8.6     
"Hernando County, FL",2016,"68,152     ","63,991     ","4,161     ",6.1     
"Highlands County, FL",2016,"35,846     ","33,481     ","2,365     ",6.6     
"Hillsborough County, FL",2016,"709,538     ","677,812     ","31,726     ",4.5     
"Holmes County, FL",2016,"6,734     ","6,367     ",367     ,5.4     
"Indian River County, FL",2016,"62,394     ","58,604     ","3,790     ",6.1     
"Jackson County, FL",2016,"17,396     ","16,480     ",916     ,5.3     
"Jefferson County, FL",2016,"5,404     ","5,117     ",287     ,5.3     
"Lafayette County, FL",2016,"2,977     ","2,846     ",131     ,4.4     
"Lake County, FL",2016,"146,577     ","139,389     ","7,188     ",4.9     
"Lee County, FL",2016,"330,398     ","314,990     ","15,408     ",4.7     
"Leon County, FL",2016,"150,702     ","143,808     ","6,894     ",4.6     
"Levy County, FL",2016,"16,702     ","15,831     ",871     ,5.2     
"Liberty County, FL",2016,"2,646     ","2,509     ",137     ,5.2     
"Madison County, FL",2016,"7,350     ","6,960     ",390     ,5.3     
"Manatee County, FL",2016,"171,148     ","163,281     ","7,867     ",4.6     
"Marion County, FL",2016,"132,466     ","124,689     ","7,777     ",5.9     
"Martin County, FL",2016,"71,125     ","67,646     ","3,479     ",4.9     
"Miami-Dade County, FL",2016,"1,305,259     ","1,233,029     ","72,230     ",5.5     
"Monroe County, FL",2016,"46,592     ","45,095     ","1,497     ",3.2     
"Nassau County, FL",2016,"37,897     ","36,176     ","1,721     ",4.5     
"Okaloosa County, FL",2016,"93,533     ","89,740     ","3,793     ",4.1     
"Okeechobee County, FL",2016,"18,205     ","17,261     ",944     ,5.2     
"Orange County, FL",2016,"708,817     ","677,671     ","31,146     ",4.4     
"Osceola County, FL",2016,"164,792     ","156,541     ","8,251     ",5.0     
"Palm Beach County, FL",2016,"711,609     ","677,839     ","33,770     ",4.7     
"Pasco County, FL",2016,"223,250     ","211,693     ","11,557     ",5.2     
"Pinellas County, FL",2016,"479,772     ","458,724     ","21,048     ",4.4     
"Polk County, FL",2016,"287,843     ","271,786     ","16,057     ",5.6     
"Putnam County, FL",2016,"27,071     ","25,332     ","1,739     ",6.4     
"St. Johns County, FL",2016,"118,966     ","114,422     ","4,544     ",3.8     
"St. Lucie County, FL",2016,"135,657     ","127,736     ","7,921     ",5.8     
"Santa Rosa County, FL",2016,"76,371     ","72,892     ","3,479     ",4.6     
"Sarasota County, FL",2016,"181,607     ","173,272     ","8,335     ",4.6     
"Seminole County, FL",2016,"242,812     ","232,335     ","10,477     ",4.3     
"Sumter County, FL",2016,"29,490     ","27,358     ","2,132     ",7.2     
"Suwannee County, FL",2016,"18,243     ","17,342     ",901     ,4.9     
"Taylor County, FL",2016,"8,866     ","8,383     ",483     ,5.4     
