County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate
"Autauga County, AL",2016,"25,710     ","24,395     ","1,315     ",5.1     
"Baldwin County, AL",2016,"89,778     ","84,972     ","4,806     ",5.4     
"Barbour County, AL",2016,"8,334     ","7,638     ",696     ,8.4     
"Bibb County, AL",2016,"8,539     ","7,986     ",553     ,6.5     
"Blount County, AL",2016,"24,380     ","23,061     ","1,319     ",5.4     
"Bullock County, AL",2016,"4,785     ","4,457     ",328     ,6.9     
"Butler County, AL",2016,"9,116     ","8,484     ",632     ,6.9     
"Calhoun County, AL",2016,"45,450     ","42,470     ","2,980     ",6.6     
"Chambers County, AL",2016,"14,858     ","14,044     ",814     ,5.5     
"Cherokee County, AL",2016,"11,241     ","10,671     ",570     ,5.1     
"Chilton County, AL",2016,"19,029     ","17,982     ","1,047     ",5.5     
"Choctaw County, AL",2016,"4,292     ","3,926     ",366     ,8.5     
"Clarke County, AL",2016,"7,889     ","7,030     ",859     ,10.9     
"Clay County, AL",2016,"5,579     ","5,247     ",332     ,6.0     
"Cleburne County, AL",2016,"5,738     ","5,394     ",344     ,6.0     
"Coffee County, AL",2016,"20,429     ","19,227     ","1,202     ",5.9     
"Colbert County, AL",2016,"23,261     ","21,640     ","1,621     ",7.0     
"Conecuh County, AL",2016,"4,512     ","4,131     ",381     ,8.4     
"Coosa County, AL",2016,"4,344     ","4,084     ",260     ,6.0     
"Covington County, AL",2016,"15,366     ","14,325     ","1,041     ",6.8     
"Crenshaw County, AL",2016,"6,401     ","6,024     ",377     ,5.9     
"Cullman County, AL",2016,"37,594     ","35,720     ","1,874     ",5.0     
"Dale County, AL",2016,"19,796     ","18,648     ","1,148     ",5.8     
"Dallas County, AL",2016,"15,293     ","13,880     ","1,413     ",9.2     
"DeKalb County, AL",2016,"28,996     ","27,232     ","1,764     ",6.1     
"Elmore County, AL",2016,"36,921     ","35,161     ","1,760     ",4.8     
"Escambia County, AL",2016,"14,433     ","13,472     ",961     ,6.7     
"Etowah County, AL",2016,"42,914     ","40,372     ","2,542     ",5.9     
"Fayette County, AL",2016,"6,542     ","6,100     ",442     ,6.8     
"Franklin County, AL",2016,"13,752     ","12,941     ",811     ,5.9     
"Geneva County, AL",2016,"10,720     ","10,097     ",623     ,5.8     
"Greene County, AL",2016,"2,848     ","2,564     ",284     ,10.0     
"Hale County, AL",2016,"5,933     ","5,478     ",455     ,7.7     
"Henry County, AL",2016,"6,666     ","6,231     ",435     ,6.5     
"Houston County, AL",2016,"44,185     ","41,621     ","2,564     ",5.8     
"Jackson County, AL",2016,"23,390     ","21,911     ","1,479     ",6.3     
"Jefferson County, AL",2016,"308,632     ","290,887     ","17,745     ",5.7     
"Lamar County, AL",2016,"5,643     ","5,324     ",319     ,5.7     
"Lauderdale County, AL",2016,"42,180     ","39,490     ","2,690     ",6.4     
"Lawrence County, AL",2016,"13,607     ","12,665     ",942     ,6.9     
"Lee County, AL",2016,"71,759     ","67,995     ","3,764     ",5.2     
"Limestone County, AL",2016,"40,349     ","38,229     ","2,120     ",5.3     
"Lowndes County, AL",2016,"3,770     ","3,371     ",399     ,10.6     
"Macon County, AL",2016,"7,803     ","7,208     ",595     ,7.6     
"Madison County, AL",2016,"172,125     ","163,288     ","8,837     ",5.1     
"Marengo County, AL",2016,"7,608     ","7,063     ",545     ,7.2     
"Marion County, AL",2016,"12,394     ","11,572     ",822     ,6.6     
"Marshall County, AL",2016,"41,240     ","39,034     ","2,206     ",5.3     
"Mobile County, AL",2016,"186,230     ","173,856     ","12,374     ",6.6     
"Monroe County, AL",2016,"7,255     ","6,596     ",659     ,9.1     
"Montgomery County, AL",2016,"104,883     ","98,929     ","5,954     ",5.7     
"Morgan County, AL",2016,"54,413     ","51,395     ","3,018     ",5.5     
"Perry County, AL",2016,"3,438     ","3,083     ",355     ,10.3     
"Pickens County, AL",2016,"7,702     ","7,172     ",530     ,6.9     
"Pike County, AL",2016,"14,825     ","13,860     ",965     ,6.5     
"Randolph County, AL",2016,"9,350     ","8,827     ",523     ,5.6     
"Russell County, AL",2016,"23,338     ","22,038     ","1,300     ",5.6     
"St. Clair County, AL",2016,"38,757     ","36,745     ","2,012     ",5.2     
"Shelby County, AL",2016,"108,670     ","103,986     ","4,684     ",4.3     
"Sumter County, AL",2016,"5,069     ","4,678     ",391     ,7.7     
"Talladega County, AL",2016,"34,528     ","32,244     ","2,284     ",6.6     
"Tallapoosa County, AL",2016,"18,426     ","17,396     ","1,030     ",5.6     
"Tuscaloosa County, AL",2016,"98,431     ","92,864     ","5,567     ",5.7     
"Walker County, AL",2016,"25,356     ","23,465     ","1,891     ",7.5     
"Washington County, AL",2016,"6,686     ","6,109     ",577     ,8.6     
"Wilcox County, AL",2016,"2,795     ","2,391     ",404     ,14.5     
"Winston County, AL",2016,"9,455     ","8,783     ",672     ,7.1     
"Aleutians East Borough, AK",2016,"2,589     ","2,523     ",66     ,2.5     
"Aleutians West Census Area, AK",2016,"3,982     ","3,856     ",126     ,3.2     
"Anchorage Borough/municipality, AK",2016,"155,471     ","147,254     ","8,217     ",5.3     
"Bethel Census Area, AK",2016,"7,219     ","6,230     ",989     ,13.7     
"Bristol Bay Borough, AK",2016,413     ,385     ,28     ,6.8     
"Denali Borough, AK",2016,"1,091     ",996     ,95     ,8.7     
"Dillingham Census Area, AK",2016,"2,073     ","1,881     ",192     ,9.3     
"Fairbanks North Star Borough, AK",2016,"46,443     ","43,824     ","2,619     ",5.6     
"Haines Borough, AK",2016,"1,071     ",966     ,105     ,9.8     
"Hoonah-Angoon Census Area, AK",2016,"1,200     ","1,064     ",136     ,11.3     
"Juneau Borough/city, AK",2016,"17,343     ","16,599     ",744     ,4.3     
"Kenai Peninsula Borough, AK",2016,"27,123     ","24,906     ","2,217     ",8.2     
"Ketchikan Gateway Borough, AK",2016,"7,019     ","6,581     ",438     ,6.2     
"Kodiak Island Borough, AK",2016,"6,418     ","6,101     ",317     ,4.9     
"Kusilvak Census Area, AK",2016,"2,706     ","2,142     ",564     ,20.8     
"Lake and Peninsula Borough, AK",2016,653     ,575     ,78     ,11.9     
"Matanuska-Susitna Borough, AK",2016,"47,353     ","43,613     ","3,740     ",7.9     
"Nome Census Area, AK",2016,"4,072     ","3,574     ",498     ,12.2     
"North Slope Borough, AK",2016,"3,951     ","3,694     ",257     ,6.5     
"Northwest Arctic Borough, AK",2016,"2,950     ","2,496     ",454     ,15.4     
"Petersburg Borough, AK",2016,"1,447     ","1,322     ",125     ,8.6     
"Prince of Wales-Hyder Census Area, AK",2016,"2,760     ","2,437     ",323     ,11.7     
"Sitka Borough/city, AK",2016,"4,373     ","4,179     ",194     ,4.4     
"Skagway Municipality, AK",2016,803     ,717     ,86     ,10.7     
"Southeast Fairbanks Census Area, AK",2016,"2,990     ","2,681     ",309     ,10.3     
"Valdez-Cordova Census Area, AK",2016,"4,802     ","4,406     ",396     ,8.2     
"Wrangell Borough/city, AK",2016,"1,053     ",977     ,76     ,7.2     
"Yakutat Borough/city, AK",2016,244     ,224     ,20     ,8.2     
"Yukon-Koyukuk Census Area, AK",2016,"2,408     ","1,994     ",414     ,17.2     
"Apache County, AZ",2016,"20,418     ","18,042     ","2,376     ",11.6     
"Cochise County, AZ",2016,"49,799     ","46,647     ","3,152     ",6.3     
"Coconino County, AZ",2016,"74,484     ","69,930     ","4,554     ",6.1     
"Gila County, AZ",2016,"21,084     ","19,536     ","1,548     ",7.3     
"Graham County, AZ",2016,"14,433     ","13,445     ",988     ,6.8     
"Greenlee County, AZ",2016,"3,916     ","3,615     ",301     ,7.7     
"La Paz County, AZ",2016,"8,506     ","7,983     ",523     ,6.1     
"Maricopa County, AZ",2016,"2,088,551     ","1,991,371     ","97,180     ",4.7     
"Mohave County, AZ",2016,"80,843     ","75,410     ","5,433     ",6.7     
"Navajo County, AZ",2016,"41,511     ","38,030     ","3,481     ",8.4     
"Pima County, AZ",2016,"471,452     ","447,695     ","23,757     ",5.0     
"Pinal County, AZ",2016,"164,605     ","155,330     ","9,275     ",5.6     
"Santa Cruz County, AZ",2016,"19,282     ","17,317     ","1,965     ",10.2     
"Yavapai County, AZ",2016,"99,916     ","94,913     ","5,003     ",5.0     
"Yuma County, AZ",2016,"94,671     ","76,590     ","18,081     ",19.1     
"Arkansas County, AR",2016,"9,284     ","8,967     ",317     ,3.4     
"Ashley County, AR",2016,"7,966     ","7,477     ",489     ,6.1     
"Baxter County, AR",2016,"16,130     ","15,435     ",695     ,4.3     
"Benton County, AR",2016,"128,130     ","124,390     ","3,740     ",2.9     
"Boone County, AR",2016,"15,957     ","15,370     ",587     ,3.7     
"Bradley County, AR",2016,"4,491     ","4,265     ",226     ,5.0     
"Calhoun County, AR",2016,"2,396     ","2,286     ",110     ,4.6     
"Carroll County, AR",2016,"12,891     ","12,432     ",459     ,3.6     
"Chicot County, AR",2016,"3,590     ","3,353     ",237     ,6.6     
"Clark County, AR",2016,"9,589     ","9,173     ",416     ,4.3     
"Clay County, AR",2016,"6,048     ","5,706     ",342     ,5.7     
"Cleburne County, AR",2016,"9,500     ","8,935     ",565     ,5.9     
"Cleveland County, AR",2016,"3,349     ","3,198     ",151     ,4.5     
"Columbia County, AR",2016,"9,313     ","8,781     ",532     ,5.7     
"Conway County, AR",2016,"8,468     ","7,983     ",485     ,5.7     
