County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate,,,,,
"Johnson County, TX",2012,"72,986     ","68,168     ","4,818     ",6.6     ,,,,,
"Jones County, TX",2012,"5,891     ","5,469     ",422     ,7.2     ,,,,,
"Karnes County, TX",2012,"5,275     ","4,956     ",319     ,6.0     ,,,,,
"Kaufman County, TX",2012,"51,497     ","47,941     ","3,556     ",6.9     ,,,,,
"Kendall County, TX",2012,"17,435     ","16,498     ",937     ,5.4     ,,,,,
"Kenedy County, TX",2012,253     ,240     ,13     ,5.1     ,,,,,
"Kent County, TX",2012,550     ,529     ,21     ,3.8     ,,,,,
"Kerr County, TX",2012,"21,647     ","20,392     ","1,255     ",5.8     ,,,,,
"Kimble County, TX",2012,"2,184     ","2,078     ",106     ,4.9     ,,,,,
"King County, TX",2012,247     ,236     ,11     ,4.5     ,,,,,
"Kinney County, TX",2012,"1,260     ","1,150     ",110     ,8.7     ,,,,,
"Kleberg County, TX",2012,"15,384     ","14,330     ","1,054     ",6.9     ,,,,,
"Knox County, TX",2012,"1,814     ","1,719     ",95     ,5.2     ,,,,,
"Lamar County, TX",2012,"22,588     ","20,520     ","2,068     ",9.2     ,,,,,
"Lamb County, TX",2012,"6,449     ","5,939     ",510     ,7.9     ,,,,,
"Lampasas County, TX",2012,"9,072     ","8,428     ",644     ,7.1     ,,,,,
"La Salle County, TX",2012,"3,663     ","3,500     ",163     ,4.4     ,,,,,
"Lavaca County, TX",2012,"9,460     ","9,006     ",454     ,4.8     ,,,,,
"Lee County, TX",2012,"9,116     ","8,628     ",488     ,5.4     ,,,,,
"Leon County, TX",2012,"6,938     ","6,429     ",509     ,7.3     ,,,,,
"Liberty County, TX",2012,"30,803     ","27,868     ","2,935     ",9.5     ,,,,,
"Limestone County, TX",2012,"9,583     ","8,927     ",656     ,6.8     ,,,,,
"Lipscomb County, TX",2012,"1,754     ","1,687     ",67     ,3.8     ,,,,,
"Live Oak County, TX",2012,"5,756     ","5,494     ",262     ,4.6     ,,,,,
"Llano County, TX",2012,"8,047     ","7,504     ",543     ,6.7     ,,,,,
"Loving County, TX",2012,67     ,63     ,4     ,6.0     ,,,,,
"Lubbock County, TX",2012,"145,281     ","137,565     ","7,716     ",5.3     ,,,,,
"Lynn County, TX",2012,"2,948     ","2,770     ",178     ,6.0     ,,,,,
"McCulloch County, TX",2012,"4,392     ","4,157     ",235     ,5.4     ,,,,,
"McLennan County, TX",2012,"112,098     ","104,700     ","7,398     ",6.6     ,,,,,
"McMullen County, TX",2012,742     ,725     ,17     ,2.3     ,,,,,
"Madison County, TX",2012,"4,642     ","4,316     ",326     ,7.0     ,,,,,
"Marion County, TX",2012,"4,341     ","3,947     ",394     ,9.1     ,,,,,
"Martin County, TX",2012,"2,410     ","2,302     ",108     ,4.5     ,,,,,
"Mason County, TX",2012,"1,965     ","1,863     ",102     ,5.2     ,,,,,
"Matagorda County, TX",2012,"17,062     ","15,343     ","1,719     ",10.1     ,,,,,
"Maverick County, TX",2012,"23,305     ","20,404     ","2,901     ",12.4     ,,,,,
"Medina County, TX",2012,"20,158     ","18,846     ","1,312     ",6.5     ,,,,,
"Menard County, TX",2012,970     ,909     ,61     ,6.3     ,,,,,
"Midland County, TX",2012,"82,031     ","78,867     ","3,164     ",3.9     ,,,,,
"Milam County, TX",2012,"10,255     ","9,380     ",875     ,8.5     ,,,,,
"Mills County, TX",2012,"2,096     ","1,983     ",113     ,5.4     ,,,,,
"Mitchell County, TX",2012,"2,870     ","2,700     ",170     ,5.9     ,,,,,
"Montague County, TX",2012,"9,828     ","9,300     ",528     ,5.4     ,,,,,
"Montgomery County, TX",2012,"238,639     ","224,554     ","14,085     ",5.9     ,,,,,
"Moore County, TX",2012,"11,563     ","11,066     ",497     ,4.3     ,,,,,
"Morris County, TX",2012,"5,821     ","5,257     ",564     ,9.7     ,,,,,
"Motley County, TX",2012,521     ,490     ,31     ,6.0     ,,,,,
"Nacogdoches County, TX",2012,"29,501     ","27,554     ","1,947     ",6.6     ,,,,,
"Navarro County, TX",2012,"23,191     ","21,517     ","1,674     ",7.2     ,,,,,
"Newton County, TX",2012,"5,789     ","5,153     ",636     ,11.0     ,,,,,
"Nolan County, TX",2012,"7,077     ","6,659     ",418     ,5.9     ,,,,,
"Nueces County, TX",2012,"166,630     ","155,750     ","10,880     ",6.5     ,,,,,
"Ochiltree County, TX",2012,"5,308     ","5,105     ",203     ,3.8     ,,,,,
"Oldham County, TX",2012,949     ,909     ,40     ,4.2     ,,,,,
"Orange County, TX",2012,"38,780     ","34,749     ","4,031     ",10.4     ,,,,,
"Palo Pinto County, TX",2012,"13,385     ","12,489     ",896     ,6.7     ,,,,,
"Panola County, TX",2012,"12,292     ","11,454     ",838     ,6.8     ,,,,,
"Parker County, TX",2012,"57,783     ","54,376     ","3,407     ",5.9     ,,,,,
"Parmer County, TX",2012,"4,994     ","4,790     ",204     ,4.1     ,,,,,
"Pecos County, TX",2012,"6,978     ","6,622     ",356     ,5.1     ,,,,,
"Polk County, TX",2012,"17,500     ","16,103     ","1,397     ",8.0     ,,,,,
"Potter County, TX",2012,"58,200     ","55,107     ","3,093     ",5.3     ,,,,,
"Presidio County, TX",2012,"3,816     ","3,312     ",504     ,13.2     ,,,,,
"Rains County, TX",2012,"5,218     ","4,856     ",362     ,6.9     ,,,,,
