County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate,,,,,
"Hillsborough County, FL",2012,"664,074     ","609,993     ","54,081     ",8.1     ,,,,,
"Holmes County, FL",2012,"7,122     ","6,473     ",649     ,9.1     ,,,,,
"Indian River County, FL",2012,"61,660     ","54,700     ","6,960     ",11.3     ,,,,,
"Jackson County, FL",2012,"17,949     ","16,348     ","1,601     ",8.9     ,,,,,
"Jefferson County, FL",2012,"5,472     ","4,950     ",522     ,9.5     ,,,,,
"Lafayette County, FL",2012,"3,460     ","3,256     ",204     ,5.9     ,,,,,
"Lake County, FL",2012,"133,178     ","121,063     ","12,115     ",9.1     ,,,,,
"Lee County, FL",2012,"290,468     ","264,043     ","26,425     ",9.1     ,,,,,
"Leon County, FL",2012,"148,301     ","137,606     ","10,695     ",7.2     ,,,,,
"Levy County, FL",2012,"16,630     ","15,035     ","1,595     ",9.6     ,,,,,
"Liberty County, FL",2012,"2,729     ","2,505     ",224     ,8.2     ,,,,,
"Madison County, FL",2012,"7,947     ","7,245     ",702     ,8.8     ,,,,,
"Manatee County, FL",2012,"149,768     ","137,215     ","12,553     ",8.4     ,,,,,
"Marion County, FL",2012,"129,686     ","116,046     ","13,640     ",10.5     ,,,,,
"Martin County, FL",2012,"66,705     ","60,993     ","5,712     ",8.6     ,,,,,
"Miami-Dade County, FL",2012,"1,287,313     ","1,185,974     ","101,339     ",7.9     ,,,,,
"Monroe County, FL",2012,"43,603     ","41,044     ","2,559     ",5.9     ,,,,,
"Nassau County, FL",2012,"35,715     ","32,750     ","2,965     ",8.3     ,,,,,
"Okaloosa County, FL",2012,"90,810     ","84,517     ","6,293     ",6.9     ,,,,,
"Okeechobee County, FL",2012,"18,211     ","16,341     ","1,870     ",10.3     ,,,,,
"Orange County, FL",2012,"649,668     ","594,652     ","55,016     ",8.5     ,,,,,
"Osceola County, FL",2012,"142,662     ","128,766     ","13,896     ",9.7     ,,,,,
"Palm Beach County, FL",2012,"656,413     ","598,903     ","57,510     ",8.8     ,,,,,
"Pasco County, FL",2012,"207,412     ","188,053     ","19,359     ",9.3     ,,,,,
"Pinellas County, FL",2012,"463,951     ","425,850     ","38,101     ",8.2     ,,,,,
"Polk County, FL",2012,"275,402     ","248,119     ","27,283     ",9.9     ,,,,,
"Putnam County, FL",2012,"28,775     ","25,274     ","3,501     ",12.2     ,,,,,
"St. Johns County, FL",2012,"103,312     ","96,348     ","6,964     ",6.7     ,,,,,
"St. Lucie County, FL",2012,"128,364     ","113,893     ","14,471     ",11.3     ,,,,,
"Santa Rosa County, FL",2012,"72,170     ","66,565     ","5,605     ",7.8     ,,,,,
"Sarasota County, FL",2012,"166,931     ","152,422     ","14,509     ",8.7     ,,,,,
"Seminole County, FL",2012,"229,622     ","210,480     ","19,142     ",8.3     ,,,,,
"Sumter County, FL",2012,"26,712     ","23,804     ","2,908     ",10.9     ,,,,,
"Suwannee County, FL",2012,"18,220     ","16,714     ","1,506     ",8.3     ,,,,,
"Taylor County, FL",2012,"9,350     ","8,484     ",866     ,9.3     ,,,,,
"Union County, FL",2012,"5,052     ","4,676     ",376     ,7.4     ,,,,,
"Volusia County, FL",2012,"235,956     ","212,873     ","23,083     ",9.8     ,,,,,
"Wakulla County, FL",2012,"14,025     ","12,970     ","1,055     ",7.5     ,,,,,
"Walton County, FL",2012,"26,092     ","24,133     ","1,959     ",7.5     ,,,,,
"Washington County, FL",2012,"9,999     ","9,090     ",909     ,9.1     ,,,,,
"Appling County, GA",2012,"8,947     ","7,959     ",988     ,11.0     ,,,,,
"Atkinson County, GA",2012,"3,433     ","3,042     ",391     ,11.4     ,,,,,
"Bacon County, GA",2012,"4,542     ","4,108     ",434     ,9.6     ,,,,,
"Baker County, GA",2012,"1,168     ","1,041     ",127     ,10.9     ,,,,,
"Baldwin County, GA",2012,"18,806     ","16,655     ","2,151     ",11.4     ,,,,,
"Banks County, GA",2012,"8,562     ","7,869     ",693     ,8.1     ,,,,,
"Barrow County, GA",2012,"34,445     ","31,517     ","2,928     ",8.5     ,,,,,
"Bartow County, GA",2012,"47,254     ","42,631     ","4,623     ",9.8     ,,,,,
"Ben Hill County, GA",2012,"6,156     ","5,310     ",846     ,13.7     ,,,,,
"Berrien County, GA",2012,"7,830     ","7,040     ",790     ,10.1     ,,,,,
"Bibb County, GA",2012,"71,469     ","64,047     ","7,422     ",10.4     ,,,,,
"Bleckley County, GA",2012,"5,260     ","4,608     ",652     ,12.4     ,,,,,
"Brantley County, GA",2012,"7,411     ","6,532     ",879     ,11.9     ,,,,,
"Brooks County, GA",2012,"6,784     ","6,172     ",612     ,9.0     ,,,,,
"Bryan County, GA",2012,"15,103     ","13,869     ","1,234     ",8.2     ,,,,,
"Bulloch County, GA",2012,"33,801     ","30,541     ","3,260     ",9.6     ,,,,,
"Burke County, GA",2012,"9,678     ","8,500     ","1,178     ",12.2     ,,,,,
"Butts County, GA",2012,"10,336     ","9,292     ","1,044     ",10.1     ,,,,,
"Calhoun County, GA",2012,"2,367     ","2,185     ",182     ,7.7     ,,,,,
"Camden County, GA",2012,"21,807     ","19,963     ","1,844     ",8.5     ,,,,,
"Candler County, GA",2012,"5,168     ","4,727     ",441     ,8.5     ,,,,,
"Carroll County, GA",2012,"51,829     ","46,582     ","5,247     ",10.1     ,,,,,
"Catoosa County, GA",2012,"32,145     ","29,780     ","2,365     ",7.4     ,,,,,
"Charlton County, GA",2012,"4,962     ","4,506     ",456     ,9.2     ,,,,,
"Chatham County, GA",2012,"131,535     ","119,558     ","11,977     ",9.1     ,,,,,
"Chattahoochee County, GA",2012,"2,591     ","2,292     ",299     ,11.5     ,,,,,
"Chattooga County, GA",2012,"10,602     ","9,533     ","1,069     ",10.1     ,,,,,
"Cherokee County, GA",2012,"114,682     ","106,681     ","8,001     ",7.0     ,,,,,
"Clarke County, GA",2012,"57,948     ","52,974     ","4,974     ",8.6     ,,,,,
"Clay County, GA",2012,"1,005     ",881     ,124     ,12.3     ,,,,,
"Clayton County, GA",2012,"127,159     ","112,073     ","15,086     ",11.9     ,,,,,
"Clinch County, GA",2012,"2,906     ","2,628     ",278     ,9.6     ,,,,,
"Cobb County, GA",2012,"387,385     ","357,927     ","29,458     ",7.6     ,,,,,
"Coffee County, GA",2012,"17,408     ","15,452     ","1,956     ",11.2     ,,,,,
"Colquitt County, GA",2012,"20,933     ","19,123     ","1,810     ",8.6     ,,,,,
"Columbia County, GA",2012,"64,503     ","60,067     ","4,436     ",6.9     ,,,,,
"Cook County, GA",2012,"7,507     ","6,807     ",700     ,9.3     ,,,,,
"Coweta County, GA",2012,"65,278     ","60,150     ","5,128     ",7.9     ,,,,,
"Crawford County, GA",2012,"5,810     ","5,248     ",562     ,9.7     ,,,,,
"Crisp County, GA",2012,"9,139     ","8,013     ","1,126     ",12.3     ,,,,,
"Dade County, GA",2012,"8,358     ","7,731     ",627     ,7.5     ,,,,,
"Dawson County, GA",2012,"10,822     ","9,908     ",914     ,8.4     ,,,,,
"Decatur County, GA",2012,"12,201     ","10,984     ","1,217     ",10.0     ,,,,,
"DeKalb County, GA",2012,"368,814     ","334,647     ","34,167     ",9.3     ,,,,,
"Dodge County, GA",2012,"8,121     ","7,198     ",923     ,11.4     ,,,,,
"Dooly County, GA",2012,"4,795     ","4,252     ",543     ,11.3     ,,,,,
"Dougherty County, GA",2012,"40,755     ","36,216     ","4,539     ",11.1     ,,,,,
"Douglas County, GA",2012,"66,743     ","60,426     ","6,317     ",9.5     ,,,,,
"Early County, GA",2012,"4,472     ","4,025     ",447     ,10.0     ,,,,,
"Echols County, GA",2012,"1,801     ","1,670     ",131     ,7.3     ,,,,,
"Effingham County, GA",2012,"25,871     ","23,739     ","2,132     ",8.2     ,,,,,
"Elbert County, GA",2012,"8,522     ","7,466     ","1,056     ",12.4     ,,,,,
"Emanuel County, GA",2012,"9,057     ","7,951     ","1,106     ",12.2     ,,,,,
"Evans County, GA",2012,"4,787     ","4,384     ",403     ,8.4     ,,,,,
"Fannin County, GA",2012,"9,982     ","8,977     ","1,005     ",10.1     ,,,,,
"Fayette County, GA",2012,"53,324     ","49,359     ","3,965     ",7.4     ,,,,,
"Floyd County, GA",2012,"44,642     ","39,833     ","4,809     ",10.8     ,,,,,
"Forsyth County, GA",2012,"93,459     ","87,366     ","6,093     ",6.5     ,,,,,
"Franklin County, GA",2012,"9,506     ","8,449     ","1,057     ",11.1     ,,,,,
"Fulton County, GA",2012,"509,382     ","463,742     ","45,640     ",9.0     ,,,,,
"Gilmer County, GA",2012,"12,112     ","10,852     ","1,260     ",10.4     ,,,,,
"Glascock County, GA",2012,"1,318     ","1,192     ",126     ,9.6     ,,,,,
"Glynn County, GA",2012,"38,656     ","35,044     ","3,612     ",9.3     ,,,,,
"Gordon County, GA",2012,"26,748     ","24,167     ","2,581     ",9.6     ,,,,,
"Grady County, GA",2012,"10,797     ","9,882     ",915     ,8.5     ,,,,,
"Greene County, GA",2012,"6,396     ","5,697     ",699     ,10.9     ,,,,,
"Gwinnett County, GA",2012,"432,720     ","399,656     ","33,064     ",7.6     ,,,,,
"Habersham County, GA",2012,"18,359     ","16,639     ","1,720     ",9.4     ,,,,,
"Hall County, GA",2012,"88,828     ","82,015     ","6,813     ",7.7     ,,,,,
"Hancock County, GA",2012,"2,745     ","2,285     ",460     ,16.8     ,,,,,
"Haralson County, GA",2012,"12,058     ","10,841     ","1,217     ",10.1     ,,,,,
"Harris County, GA",2012,"16,223     ","15,072     ","1,151     ",7.1     ,,,,,
"Hart County, GA",2012,"10,783     ","9,690     ","1,093     ",10.1     ,,,,,
"Heard County, GA",2012,"5,103     ","4,584     ",519     ,10.2     ,,,,,
"Henry County, GA",2012,"102,845     ","93,325     ","9,520     ",9.3     ,,,,,
"Houston County, GA",2012,"68,515     ","63,085     ","5,430     ",7.9     ,,,,,
"Irwin County, GA",2012,"3,529     ","3,121     ",408     ,11.6     ,,,,,
"Jackson County, GA",2012,"29,313     ","26,941     ","2,372     ",8.1     ,,,,,
"Jasper County, GA",2012,"6,641     ","6,001     ",640     ,9.6     ,,,,,
"Jeff Davis County, GA",2012,"6,357     ","5,634     ",723     ,11.4     ,,,,,
"Jefferson County, GA",2012,"7,055     ","6,136     ",919     ,13.0     ,,,,,
"Jenkins County, GA",2012,"3,350     ","2,896     ",454     ,13.6     ,,,,,
"Johnson County, GA",2012,"4,050     ","3,652     ",398     ,9.8     ,,,,,
"Jones County, GA",2012,"13,830     ","12,674     ","1,156     ",8.4     ,,,,,
"Lamar County, GA",2012,"7,936     ","6,991     ",945     ,11.9     ,,,,,
"Lanier County, GA",2012,"3,896     ","3,537     ",359     ,9.2     ,,,,,
"Laurens County, GA",2012,"19,721     ","17,338     ","2,383     ",12.1     ,,,,,
"Lee County, GA",2012,"14,277     ","13,201     ","1,076     ",7.5     ,,,,,
"Liberty County, GA",2012,"27,061     ","24,686     ","2,375     ",8.8     ,,,,,
"Lincoln County, GA",2012,"3,525     ","3,150     ",375     ,10.6     ,,,,,
"Long County, GA",2012,"6,625     ","6,067     ",558     ,8.4     ,,,,,
"Lowndes County, GA",2012,"52,282     ","47,580     ","4,702     ",9.0     ,,,,,
"Lumpkin County, GA",2012,"15,126     ","13,882     ","1,244     ",8.2     ,,,,,
"McDuffie County, GA",2012,"9,293     ","8,137     ","1,156     ",12.4     ,,,,,
"McIntosh County, GA",2012,"6,010     ","5,433     ",577     ,9.6     ,,,,,
"Macon County, GA",2012,"5,151     ","4,476     ",675     ,13.1     ,,,,,
"Madison County, GA",2012,"13,084     ","11,931     ","1,153     ",8.8     ,,,,,
"Marion County, GA",2012,"3,599     ","3,244     ",355     ,9.9     ,,,,,
"Meriwether County, GA",2012,"8,995     ","7,930     ","1,065     ",11.8     ,,,,,
"Miller County, GA",2012,"2,691     ","2,474     ",217     ,8.1     ,,,,,
"Mitchell County, GA",2012,"9,581     ","8,743     ",838     ,8.7     ,,,,,
"Monroe County, GA",2012,"12,779     ","11,689     ","1,090     ",8.5     ,,,,,
"Montgomery County, GA",2012,"3,886     ","3,440     ",446     ,11.5     ,,,,,
"Morgan County, GA",2012,"8,511     ","7,754     ",757     ,8.9     ,,,,,
"Murray County, GA",2012,"16,338     ","14,277     ","2,061     ",12.6     ,,,,,
"Muscogee County, GA",2012,"83,331     ","75,280     ","8,051     ",9.7     ,,,,,
"Newton County, GA",2012,"48,130     ","42,907     ","5,223     ",10.9     ,,,,,
"Oconee County, GA",2012,"17,016     ","15,960     ","1,056     ",6.2     ,,,,,
"Oglethorpe County, GA",2012,"6,871     ","6,292     ",579     ,8.4     ,,,,,
"Paulding County, GA",2012,"74,215     ","68,145     ","6,070     ",8.2     ,,,,,
"Peach County, GA",2012,"12,499     ","11,127     ","1,372     ",11.0     ,,,,,
"Pickens County, GA",2012,"13,851     ","12,611     ","1,240     ",9.0     ,,,,,
"Pierce County, GA",2012,"8,307     ","7,534     ",773     ,9.3     ,,,,,
"Pike County, GA",2012,"8,392     ","7,628     ",764     ,9.1     ,,,,,
"Polk County, GA",2012,"18,730     ","16,883     ","1,847     ",9.9     ,,,,,
"Pulaski County, GA",2012,"4,367     ","3,979     ",388     ,8.9     ,,,,,
"Putnam County, GA",2012,"8,259     ","7,321     ",938     ,11.4     ,,,,,
"Quitman County, GA",2012,940     ,852     ,88     ,9.4     ,,,,,
"Rabun County, GA",2012,"6,912     ","6,131     ",781     ,11.3     ,,,,,
"Randolph County, GA",2012,"2,824     ","2,476     ",348     ,12.3     ,,,,,
"Richmond County, GA",2012,"88,115     ","78,891     ","9,224     ",10.5     ,,,,,
"Rockdale County, GA",2012,"41,985     ","37,768     ","4,217     ",10.0     ,,,,,
"Schley County, GA",2012,"2,168     ","1,945     ",223     ,10.3     ,,,,,
"Screven County, GA",2012,"5,670     ","4,898     ",772     ,13.6     ,,,,,
"Seminole County, GA",2012,"3,242     ","2,893     ",349     ,10.8     ,,,,,
"Spalding County, GA",2012,"28,080     ","24,608     ","3,472     ",12.4     ,,,,,
"Stephens County, GA",2012,"11,721     ","10,507     ","1,214     ",10.4     ,,,,,
"Stewart County, GA",2012,"2,309     ","2,101     ",208     ,9.0     ,,,,,
"Sumter County, GA",2012,"13,905     ","12,276     ","1,629     ",11.7     ,,,,,
"Talbot County, GA",2012,"2,911     ","2,623     ",288     ,9.9     ,,,,,
"Taliaferro County, GA",2012,604     ,519     ,85     ,14.1     ,,,,,
"Tattnall County, GA",2012,"9,780     ","8,979     ",801     ,8.2     ,,,,,
"Taylor County, GA",2012,"3,103     ","2,694     ",409     ,13.2     ,,,,,
"Telfair County, GA",2012,"5,324     ","4,706     ",618     ,11.6     ,,,,,
"Terrell County, GA",2012,"3,741     ","3,339     ",402     ,10.7     ,,,,,
"Thomas County, GA",2012,"18,422     ","16,662     ","1,760     ",9.6     ,,,,,
"Tift County, GA",2012,"19,088     ","17,191     ","1,897     ",9.9     ,,,,,
"Toombs County, GA",2012,"12,469     ","11,023     ","1,446     ",11.6     ,,,,,
"Towns County, GA",2012,"4,425     ","3,931     ",494     ,11.2     ,,,,,
"Treutlen County, GA",2012,"2,893     ","2,509     ",384     ,13.3     ,,,,,
"Troup County, GA",2012,"35,480     ","32,046     ","3,434     ",9.7     ,,,,,
"Turner County, GA",2012,"3,446     ","3,049     ",397     ,11.5     ,,,,,
"Twiggs County, GA",2012,"3,160     ","2,697     ",463     ,14.7     ,,,,,
"Union County, GA",2012,"9,630     ","8,790     ",840     ,8.7     ,,,,,
"Upson County, GA",2012,"11,949     ","10,692     ","1,257     ",10.5     ,,,,,
"Walker County, GA",2012,"30,820     ","28,089     ","2,731     ",8.9     ,,,,,
"Walton County, GA",2012,"40,998     ","37,325     ","3,673     ",9.0     ,,,,,
"Ware County, GA",2012,"15,426     ","13,887     ","1,539     ",10.0     ,,,,,
"Warren County, GA",2012,"2,641     ","2,252     ",389     ,14.7     ,,,,,
"Washington County, GA",2012,"8,054     ","7,233     ",821     ,10.2     ,,,,,
"Wayne County, GA",2012,"12,561     ","11,239     ","1,322     ",10.5     ,,,,,
"Webster County, GA",2012,"1,058     ",954     ,104     ,9.8     ,,,,,
"Wheeler County, GA",2012,"1,951     ","1,694     ",257     ,13.2     ,,,,,
"White County, GA",2012,"13,524     ","12,371     ","1,153     ",8.5     ,,,,,
"Whitfield County, GA",2012,"45,579     ","40,804     ","4,775     ",10.5     ,,,,,
"Wilcox County, GA",2012,"2,856     ","2,528     ",328     ,11.5     ,,,,,
"Wilkes County, GA",2012,"3,826     ","3,366     ",460     ,12.0     ,,,,,
"Wilkinson County, GA",2012,"3,724     ","3,302     ",422     ,11.3     ,,,,,
"Worth County, GA",2012,"9,586     ","8,625     ",961     ,10.0     ,,,,,
"Hawaii County, HI",2012,"87,293     ","80,231     ","7,062     ",8.1     ,,,,,
"Honolulu County/city, HI",2012,"447,994     ","424,107     ","23,887     ",5.3     ,,,,,
"Kauai County, HI",2012,"34,727     ","32,275     ","2,452     ",7.1     ,,,,,
"Maui County, HI",2012,"80,401     ","75,371     ","5,030     ",6.3     ,,,,,
"Ada County, ID",2012,"205,064     ","192,057     ","13,007     ",6.3     ,,,,,
"Adams County, ID",2012,"1,752     ","1,485     ",267     ,15.2     ,,,,,
"Bannock County, ID",2012,"41,349     ","38,418     ","2,931     ",7.1     ,,,,,
"Bear Lake County, ID",2012,"2,891     ","2,726     ",165     ,5.7     ,,,,,
"Benewah County, ID",2012,"4,180     ","3,660     ",520     ,12.4     ,,,,,
"Bingham County, ID",2012,"22,849     ","21,357     ","1,492     ",6.5     ,,,,,
"Blaine County, ID",2012,"11,770     ","10,922     ",848     ,7.2     ,,,,,
"Boise County, ID",2012,"2,980     ","2,690     ",290     ,9.7     ,,,,,
"Bonner County, ID",2012,"18,696     ","16,691     ","2,005     ",10.7     ,,,,,
"Bonneville County, ID",2012,"49,290     ","46,104     ","3,186     ",6.5     ,,,,,
