County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate
"Autauga County, AL",2013,"25,783     ","24,155     ","1,628     ",6.3     
"Baldwin County, AL",2013,"85,206     ","79,466     ","5,740     ",6.7     
"Barbour County, AL",2013,"9,096     ","8,152     ",944     ,10.4     
"Bibb County, AL",2013,"8,699     ","8,000     ",699     ,8.0     
"Blount County, AL",2013,"24,860     ","23,277     ","1,583     ",6.4     
"Bullock County, AL",2013,"4,774     ","4,322     ",452     ,9.5     
"Butler County, AL",2013,"9,144     ","8,189     ",955     ,10.4     
"Calhoun County, AL",2013,"48,381     ","44,068     ","4,313     ",8.9     
"Chambers County, AL",2013,"15,263     ","14,028     ","1,235     ",8.1     
"Cherokee County, AL",2013,"11,392     ","10,627     ",765     ,6.7     
"Chilton County, AL",2013,"19,339     ","18,052     ","1,287     ",6.7     
"Choctaw County, AL",2013,"4,701     ","4,261     ",440     ,9.4     
"Clarke County, AL",2013,"8,286     ","7,130     ","1,156     ",14.0     
"Clay County, AL",2013,"5,390     ","4,933     ",457     ,8.5     
"Cleburne County, AL",2013,"5,825     ","5,372     ",453     ,7.8     
"Coffee County, AL",2013,"20,495     ","19,065     ","1,430     ",7.0     
"Colbert County, AL",2013,"23,879     ","21,891     ","1,988     ",8.3     
"Conecuh County, AL",2013,"4,694     ","4,183     ",511     ,10.9     
"Coosa County, AL",2013,"4,449     ","4,036     ",413     ,9.3     
"Covington County, AL",2013,"16,055     ","14,737     ","1,318     ",8.2     
"Crenshaw County, AL",2013,"6,306     ","5,817     ",489     ,7.8     
"Cullman County, AL",2013,"35,750     ","33,333     ","2,417     ",6.8     
"Dale County, AL",2013,"20,732     ","19,180     ","1,552     ",7.5     
"Dallas County, AL",2013,"16,290     ","14,270     ","2,020     ",12.4     
"DeKalb County, AL",2013,"29,011     ","26,768     ","2,243     ",7.7     
"Elmore County, AL",2013,"36,888     ","34,585     ","2,303     ",6.2     
"Escambia County, AL",2013,"14,281     ","13,037     ","1,244     ",8.7     
"Etowah County, AL",2013,"43,830     ","40,453     ","3,377     ",7.7     
"Fayette County, AL",2013,"6,401     ","5,862     ",539     ,8.4     
"Franklin County, AL",2013,"13,668     ","12,552     ","1,116     ",8.2     
"Geneva County, AL",2013,"11,035     ","10,255     ",780     ,7.1     
"Greene County, AL",2013,"2,996     ","2,608     ",388     ,13.0     
"Hale County, AL",2013,"6,206     ","5,475     ",731     ,11.8     
"Henry County, AL",2013,"6,950     ","6,407     ",543     ,7.8     
"Houston County, AL",2013,"45,669     ","42,463     ","3,206     ",7.0     
"Jackson County, AL",2013,"23,669     ","21,776     ","1,893     ",8.0     
"Jefferson County, AL",2013,"315,102     ","293,809     ","21,293     ",6.8     
"Lamar County, AL",2013,"5,795     ","5,383     ",412     ,7.1     
"Lauderdale County, AL",2013,"43,109     ","39,999     ","3,110     ",7.2     
"Lawrence County, AL",2013,"14,273     ","13,066     ","1,207     ",8.5     
"Lee County, AL",2013,"70,447     ","66,242     ","4,205     ",6.0     
"Limestone County, AL",2013,"39,391     ","36,891     ","2,500     ",6.3     
"Lowndes County, AL",2013,"4,010     ","3,436     ",574     ,14.3     
"Macon County, AL",2013,"8,410     ","7,587     ",823     ,9.8     
"Madison County, AL",2013,"171,178     ","160,213     ","10,965     ",6.4     
"Marengo County, AL",2013,"7,628     ","6,940     ",688     ,9.0     
"Marion County, AL",2013,"12,477     ","11,475     ","1,002     ",8.0     
"Marshall County, AL",2013,"40,573     ","37,762     ","2,811     ",6.9     
"Mobile County, AL",2013,"186,932     ","170,729     ","16,203     ",8.7     
"Monroe County, AL",2013,"7,764     ","6,829     ",935     ,12.0     
"Montgomery County, AL",2013,"106,274     ","98,405     ","7,869     ",7.4     
"Morgan County, AL",2013,"56,951     ","52,979     ","3,972     ",7.0     
"Perry County, AL",2013,"3,566     ","3,077     ",489     ,13.7     
"Pickens County, AL",2013,"7,415     ","6,713     ",702     ,9.5     
"Pike County, AL",2013,"14,911     ","13,755     ","1,156     ",7.8     
"Randolph County, AL",2013,"9,205     ","8,480     ",725     ,7.9     
"Russell County, AL",2013,"24,999     ","23,160     ","1,839     ",7.4     
"St. Clair County, AL",2013,"38,792     ","36,379     ","2,413     ",6.2     
"Shelby County, AL",2013,"106,861     ","101,840     ","5,021     ",4.7     
"Sumter County, AL",2013,"5,459     ","4,959     ",500     ,9.2     
"Talladega County, AL",2013,"35,747     ","32,632     ","3,115     ",8.7     
"Tallapoosa County, AL",2013,"18,384     ","16,874     ","1,510     ",8.2     
"Tuscaloosa County, AL",2013,"95,579     ","89,414     ","6,165     ",6.5     
"Walker County, AL",2013,"26,347     ","24,086     ","2,261     ",8.6     
"Washington County, AL",2013,"6,711     ","5,972     ",739     ,11.0     
"Wilcox County, AL",2013,"2,782     ","2,239     ",543     ,19.5     
"Winston County, AL",2013,"9,638     ","8,719     ",919     ,9.5     
"Aleutians East Borough, AK",2013,"2,207     ","2,073     ",134     ,6.1     
"Aleutians West Census Area, AK",2013,"4,252     ","3,957     ",295     ,6.9     
"Anchorage Borough/municipality, AK",2013,"157,637     ","149,423     ","8,214     ",5.2     
"Bethel Census Area, AK",2013,"7,390     ","6,193     ","1,197     ",16.2     
"Bristol Bay Borough, AK",2013,489     ,445     ,44     ,9.0     
"Denali Borough, AK",2013,"1,072     ",937     ,135     ,12.6     
"Dillingham Census Area, AK",2013,"2,123     ","1,906     ",217     ,10.2     
"Fairbanks North Star Borough, AK",2013,"47,057     ","44,292     ","2,765     ",5.9     
"Haines Borough, AK",2013,"1,136     ","1,021     ",115     ,10.1     
"Hoonah-Angoon Census Area, AK",2013,"1,119     ",954     ,165     ,14.7     
"Juneau Borough/city, AK",2013,"17,504     ","16,619     ",885     ,5.1     
"Kenai Peninsula Borough, AK",2013,"27,699     ","25,463     ","2,236     ",8.1     
"Ketchikan Gateway Borough, AK",2013,"7,132     ","6,572     ",560     ,7.9     
"Kodiak Island Borough, AK",2013,"6,563     ","6,153     ",410     ,6.2     
"Kusilvak Census Area, AK",2013,"2,771     ","2,114     ",657     ,23.7     
"Lake and Peninsula Borough, AK",2013,635     ,536     ,99     ,15.6     
"Matanuska-Susitna Borough, AK",2013,"43,718     ","40,053     ","3,665     ",8.4     
"Nome Census Area, AK",2013,"4,123     ","3,613     ",510     ,12.4     
"North Slope Borough, AK",2013,"4,052     ","3,753     ",299     ,7.4     
"Northwest Arctic Borough, AK",2013,"3,054     ","2,551     ",503     ,16.5     
"Petersburg Borough, AK",2013,"1,650     ","1,507     ",143     ,8.7     
"Prince of Wales-Hyder Census Area, AK",2013,"2,799     ","2,456     ",343     ,12.3     
"Sitka Borough/city, AK",2013,"4,601     ","4,348     ",253     ,5.5     
"Skagway Municipality, AK",2013,790     ,692     ,98     ,12.4     
"Southeast Fairbanks Census Area, AK",2013,"2,999     ","2,604     ",395     ,13.2     
"Valdez-Cordova Census Area, AK",2013,"4,910     ","4,421     ",489     ,10.0     
"Wrangell Borough/city, AK",2013,"1,054     ",969     ,85     ,8.1     
"Yakutat Borough/city, AK",2013,284     ,257     ,27     ,9.5     
"Yukon-Koyukuk Census Area, AK",2013,"2,723     ","2,223     ",500     ,18.4     
"Apache County, AZ",2013,"22,104     ","18,009     ","4,095     ",18.5     
"Cochise County, AZ",2013,"51,900     ","47,097     ","4,803     ",9.3     
"Coconino County, AZ",2013,"71,698     ","65,825     ","5,873     ",8.2     
"Gila County, AZ",2013,"21,148     ","19,098     ","2,050     ",9.7     
"Graham County, AZ",2013,"14,441     ","13,317     ","1,124     ",7.8     
"Greenlee County, AZ",2013,"4,632     ","4,358     ",274     ,5.9     
"La Paz County, AZ",2013,"8,121     ","7,453     ",668     ,8.2     
"Maricopa County, AZ",2013,"1,929,092     ","1,801,272     ","127,820     ",6.6     
"Mohave County, AZ",2013,"77,748     ","69,643     ","8,105     ",10.4     
"Navajo County, AZ",2013,"42,434     ","36,681     ","5,753     ",13.6     
"Pima County, AZ",2013,"462,267     ","430,789     ","31,478     ",6.8     
"Pinal County, AZ",2013,"150,007     ","137,820     ","12,187     ",8.1     
"Santa Cruz County, AZ",2013,"20,355     ","17,210     ","3,145     ",15.5     
"Yavapai County, AZ",2013,"92,659     ","85,427     ","7,232     ",7.8     
"Yuma County, AZ",2013,"95,948     ","71,342     ","24,606     ",25.6     
"Arkansas County, AR",2013,"9,647     ","8,959     ",688     ,7.1     
"Ashley County, AR",2013,"9,154     ","8,204     ",950     ,10.4     
"Baxter County, AR",2013,"16,158     ","14,890     ","1,268     ",7.8     
"Benton County, AR",2013,"112,548     ","106,367     ","6,181     ",5.5     
"Boone County, AR",2013,"16,140     ","15,037     ","1,103     ",6.8     
"Bradley County, AR",2013,"4,298     ","3,900     ",398     ,9.3     
"Calhoun County, AR",2013,"2,453     ","2,259     ",194     ,7.9     
"Carroll County, AR",2013,"12,360     ","11,637     ",723     ,5.8     
"Chicot County, AR",2013,"3,863     ","3,425     ",438     ,11.3     
"Clark County, AR",2013,"10,155     ","9,280     ",875     ,8.6     
"Clay County, AR",2013,"6,562     ","5,938     ",624     ,9.5     
"Cleburne County, AR",2013,"10,093     ","9,253     ",840     ,8.3     
"Cleveland County, AR",2013,"3,620     ","3,353     ",267     ,7.4     
"Columbia County, AR",2013,"9,755     ","8,920     ",835     ,8.6     
"Conway County, AR",2013,"8,698     ","7,917     ",781     ,9.0     
"Craighead County, AR",2013,"49,628     ","46,453     ","3,175     ",6.4     
"Crawford County, AR",2013,"27,208     ","25,179     ","2,029     ",7.5     
"Crittenden County, AR",2013,"21,653     ","19,886     ","1,767     ",8.2     
"Cross County, AR",2013,"8,254     ","7,645     ",609     ,7.4     
"Dallas County, AR",2013,"3,054     ","2,742     ",312     ,10.2     
"Desha County, AR",2013,"5,682     ","5,147     ",535     ,9.4     
"Drew County, AR",2013,"8,340     ","7,556     ",784     ,9.4     
"Faulkner County, AR",2013,"59,652     ","55,878     ","3,774     ",6.3     
"Franklin County, AR",2013,"7,466     ","6,965     ",501     ,6.7     
"Fulton County, AR",2013,"4,946     ","4,613     ",333     ,6.7     
"Garland County, AR",2013,"41,064     ","38,029     ","3,035     ",7.4     
"Grant County, AR",2013,"8,322     ","7,791     ",531     ,6.4     
"Greene County, AR",2013,"19,525     ","18,024     ","1,501     ",7.7     
"Hempstead County, AR",2013,"10,184     ","9,466     ",718     ,7.1     
"Hot Spring County, AR",2013,"14,238     ","13,228     ","1,010     ",7.1     
"Howard County, AR",2013,"6,295     ","5,903     ",392     ,6.2     
"Independence County, AR",2013,"15,889     ","14,492     ","1,397     ",8.8     
"Izard County, AR",2013,"5,029     ","4,606     ",423     ,8.4     
"Jackson County, AR",2013,"6,309     ","5,638     ",671     ,10.6     
"Jefferson County, AR",2013,"31,183     ","28,041     ","3,142     ",10.1     
"Johnson County, AR",2013,"10,631     ","9,839     ",792     ,7.4     
"Lafayette County, AR",2013,"2,790     ","2,531     ",259     ,9.3     
"Lawrence County, AR",2013,"7,188     ","6,567     ",621     ,8.6     
"Lee County, AR",2013,"3,330     ","3,028     ",302     ,9.1     
"Lincoln County, AR",2013,"4,378     ","4,023     ",355     ,8.1     
"Little River County, AR",2013,"5,741     ","5,315     ",426     ,7.4     
"Logan County, AR",2013,"9,298     ","8,593     ",705     ,7.6     
"Lonoke County, AR",2013,"32,996     ","31,033     ","1,963     ",5.9     
"Madison County, AR",2013,"6,900     ","6,510     ",390     ,5.7     
"Marion County, AR",2013,"6,549     ","6,059     ",490     ,7.5     
"Miller County, AR",2013,"19,673     ","18,441     ","1,232     ",6.3     
"Mississippi County, AR",2013,"19,088     ","16,978     ","2,110     ",11.1     
"Monroe County, AR",2013,"3,141     ","2,873     ",268     ,8.5     
"Montgomery County, AR",2013,"3,459     ","3,177     ",282     ,8.2     
"Nevada County, AR",2013,"3,812     ","3,526     ",286     ,7.5     
"Newton County, AR",2013,"3,511     ","3,274     ",237     ,6.8     
"Ouachita County, AR",2013,"10,380     ","9,406     ",974     ,9.4     
"Perry County, AR",2013,"4,385     ","3,986     ",399     ,9.1     
"Phillips County, AR",2013,"7,633     ","6,785     ",848     ,11.1     
"Pike County, AR",2013,"4,260     ","3,898     ",362     ,8.5     
"Poinsett County, AR",2013,"10,198     ","9,360     ",838     ,8.2     
"Polk County, AR",2013,"8,545     ","7,950     ",595     ,7.0     
"Pope County, AR",2013,"29,901     ","27,768     ","2,133     ",7.1     
"Prairie County, AR",2013,"3,827     ","3,564     ",263     ,6.9     
"Pulaski County, AR",2013,"187,838     ","175,881     ","11,957     ",6.4     
"Randolph County, AR",2013,"6,727     ","6,103     ",624     ,9.3     
"St. Francis County, AR",2013,"9,220     ","8,284     ",936     ,10.2     
"Saline County, AR",2013,"55,120     ","52,011     ","3,109     ",5.6     
"Scott County, AR",2013,"4,656     ","4,373     ",283     ,6.1     
"Searcy County, AR",2013,"3,143     ","2,899     ",244     ,7.8     
"Sebastian County, AR",2013,"58,482     ","54,232     ","4,250     ",7.3     
"Sevier County, AR",2013,"6,018     ","5,533     ",485     ,8.1     
"Sharp County, AR",2013,"6,050     ","5,475     ",575     ,9.5     
"Stone County, AR",2013,"4,826     ","4,430     ",396     ,8.2     
"Union County, AR",2013,"16,740     ","15,338     ","1,402     ",8.4     
"Van Buren County, AR",2013,"6,530     ","5,910     ",620     ,9.5     
"Washington County, AR",2013,"107,521     ","101,904     ","5,617     ",5.2     
"White County, AR",2013,"35,304     ","32,619     ","2,685     ",7.6     
"Woodruff County, AR",2013,"3,254     ","2,953     ",301     ,9.3     
"Yell County, AR",2013,"9,142     ","8,559     ",583     ,6.4     
"Alameda County, CA",2013,"799,847     ","741,222     ","58,625     ",7.3     
"Alpine County, CA",2013,523     ,472     ,51     ,9.8     
"Amador County, CA",2013,"14,400     ","12,897     ","1,503     ",10.4     
"Butte County, CA",2013,"101,408     ","90,829     ","10,579     ",10.4     
"Calaveras County, CA",2013,"20,187     ","18,157     ","2,030     ",10.1     
"Colusa County, CA",2013,"11,268     ","9,113     ","2,155     ",19.1     
"Contra Costa County, CA",2013,"536,032     ","495,293     ","40,739     ",7.6     
"Del Norte County, CA",2013,"10,298     ","9,064     ","1,234     ",12.0     
"El Dorado County, CA",2013,"88,281     ","80,677     ","7,604     ",8.6     
"Fresno County, CA",2013,"436,620     ","378,042     ","58,578     ",13.4     
"Glenn County, CA",2013,"12,950     ","11,364     ","1,586     ",12.2     
"Humboldt County, CA",2013,"62,830     ","57,671     ","5,159     ",8.2     
"Imperial County, CA",2013,"78,165     ","58,391     ","19,774     ",25.3     
"Inyo County, CA",2013,"9,356     ","8,613     ",743     ,7.9     
